"Year"	Cod	Haddock	Redfish
2000	238324	41698	116297
2001	240002	39825	92527
2002	213417	49951	110876
2003	206405	60330	111143
2004	227258	84563	84513
2005	212456	96580	77540
2006	199375	96591	82595
2007	174436	109313	75373
2008	151452	102326	76376
2009	188976	81832	57858
2010	178516	64948	56305
2011	182034	51299	68843
2012	204646	47676	61359
2013	236051	45471	68990
2014	237756	35814	60041
2015	243871	40711	60222
2016	264154	38470	63534
2017	252755	36194	60552
2018	275017	48459	59127
2019	272989	57747	53616
2020	277511	54214	51947
2021	271723	56365	50146
2022	243483	57026	39658
2023	220281	69387	39122
2024	221677	83657	41065
